zipcode,metro,composite_score,letter_grade
91502,Los Angeles,63.87969564918551,C
91504,Los Angeles,57.967622578457494,C
91505,Los Angeles,69.82249676187527,B
91506,Los Angeles,70.46354414366124,B
91604,Los Angeles,69.30944308112377,B
91605,Los Angeles,56.447701071888716,C
91606,Los Angeles,69.65251983849708,B
91607,Los Angeles,75.0082400343682,B
91702,Los Angeles,62.63888472378113,C
91706,Los Angeles,57.21442196312001,C
91709,Los Angeles,40.78701077389192,D
91711,Los Angeles,56.47769757628119,C
91722,Los Angeles,61.049656667880285,C
91723,Los Angeles,63.79760500204463,C
91724,Los Angeles,59.10169580014629,C
91732,Los Angeles,64.59343078009204,C
91733,Los Angeles,64.40475459019078,C
91740,Los Angeles,60.4449872524643,C
91741,Los Angeles,53.155134746338405,C
91744,Los Angeles,56.267480883243536,C
91745,Los Angeles,52.87048770975477,C
91746,Los Angeles,55.430862800721656,C
91748,Los Angeles,60.58304899839837,C
91750,Los Angeles,56.99092893568883,C
91754,Los Angeles,61.774524546688234,C
91755,Los Angeles,58.600920103380766,C
91765,Los Angeles,54.84542288360944,C
91766,Los Angeles,53.677251975192824,C
91767,Los Angeles,63.9223531193188,C
91768,Los Angeles,53.71696576855192,C
91770,Los Angeles,64.6497717604343,C
91773,Los Angeles,54.417514577472765,C
91775,Los Angeles,70.59018994810927,B
91776,Los Angeles,68.51904120442723,B
91780,Los Angeles,64.41926087319598,C
91789,Los Angeles,50.78657322322044,C
91790,Los Angeles,58.08999150680563,C
91792,Los Angeles,60.923731280573534,C
91801,Los Angeles,72.9147665470991,B
91803,Los Angeles,58.5933751589166,C
92397,Los Angeles,38.82171231807244,D
93243,Los Angeles,41.93355140651468,D
93510,Los Angeles,39.74149390898414,D
93534,Los Angeles,59.94309970556936,C
93535,Los Angeles,48.72982755253716,D
93536,Los Angeles,50.469318747434215,C
93543,Los Angeles,36.60173820942405,D
93544,Los Angeles,36.21500741297501,D
93551,Los Angeles,49.99129306812267,D
93552,Los Angeles,49.25492893363333,D
93553,Los Angeles,37.33119241457254,D
93560,Los Angeles,38.84187009352554,D
93563,Los Angeles,38.720423360479984,D
93591,Los Angeles,40.109940469464874,D
90008,Los Angeles,42.21111358290287,D
90012,Los Angeles,68.57169649034233,B
90024,Los Angeles,62.1193677496138,C
90038,Los Angeles,66.48617316555722,B
90056,Los Angeles,49.429604392882226,D
90069,Los Angeles,74.61448222110337,B
90230,Los Angeles,68.6033365949009,B
